"title","label"
"13번받아도전혀부족함이없고 오천만이인정한 진정한대상입니다","3"
"당연한 1위!!!","3"
"이럴때 하라고 기립박수가 있는겁니다!!!","3"
" 꿈이 현실로","3"
"여자친구 노래만든 작곡가 동상 세워 줘라..","3"
"예능에서활동하시는모습보면재미있고보기좋아요이상민화이팅!!!!","3"
"수지 예쁘고 착하더라 존예짱예","3"
" 추카추카","3"
"콜마회장님 대단하시네요 ㅠㅠㅠ","3"
"좋은 노래 들려줘서 너무 감사했어요~","3"
"그리고 눈호강용 드라마 좋아하는 사람들. 물론 좋죠.","3"
" 너 오늘 아주 멋지다야.","3"
" 근데 겁나 재밌네요^^;;;","3"
" 그중 단연 이승엽은 난사람이고 된사람으로 생각한다.","3"
"정말 양상문감독 인정 안할수가 없네요 .","3"
" 진심용기있으시네요!","3"
" 멋진남자 오바마","3"
" 항상감사합니다","3"
" 대박 한편의 영화본듯~~!!!!ㅠㅠ","3"
"헌재 재판관님들 고생많으십니다.","3"
" 아가의탄생도 아름다운순간!","3"
"우와~어째든 대단해","3"
"김하늘이 뭔가 묘한 매력이 있긴 함~","3"
"남녀노소 모두좋아하는 진정한대중가요의왕","3"
"슬프고도 아름다운 이야기 입니다.","3"
"세계사 유례없는 평화시민 혁명으로 기록될것입니다.","3"
"정말 예쁨 ㅠㅠ","3"
" 국민들모두 멋지십니다.","3"
"캬 bbc까지 극찬을!!!!!","3"
"전라도분들은 35만을 굳게 믿습니다.","3"
"모정으로 가득찬 예술이네요","3"
"너무 멋지세요!!!!!??","3"
"와 추카추카~~꼭 건강한 아기 순산하시길요~~","3"
"캬~사이다!!!","3"
" 그래서 전문가들이 칭찬한단다","3"
"미쳣다 미쳣어....이번시즌은 걍 너의시즌으로 만들어라!!","3"
" 특검팀 힘내세요 !!!!","3"
" 진정한 배우중배우세여!!","3"
" 그리고 감사합니다.","3"
" 비와이가 기존랲퍼랑 완전 차별화된 점은 불량스럽지가 않다는거 오히려 성실해보임 이런 랲퍼는 처음이다 진짜","3"
"이승엽선수 정말 멋집니다!!!","3"
"고난이도액션 와이어 연기수준급이네......","3"
"결국시간이흘러서 기다리고기다리던전역날이왔네요ㅜㅜ","3"
" 라며 공감해주는데말하면 말할수록 그 따뜻한 고마움에 눈물이 나는거있죠 ㅋㅋㅋㅋ","3"
"다들 힘내시길 바래요 ㅠ","3"
"나무막대 하나만으로도 이렇게 예쁜 그림이~~","3"
"아이들도 좋아할거같고~에버랜드 튤립축제 진해군항제등 볼거리 많네요","3"
"막 ㅇㅇ 정말 리스펙해요~","3"
" 크흡작년에 이직해서 다니고있고 집안이 어려워서 엄마 도와준거때문에 돈 못모았었는데천만원이 눈앞에 있어서 기쁘네여 ㅋㅋㅋㅋㅋㅋ 오예!!","3"
"정성이 담긴 이쁜손편지가 들어있네요^^","3"
"자동차 너무 귀엽네요!!","3"
"벚꽃도 피고 이제 정말 봄이네.","3"
"다들 말씀과조언 감사합니다","3"
"태어난지 5개월 됐는데 뒤집고 조금씩 기어다니는데 빠른건가요..","3"
" 진심이렇게 슬픈영화는 처음이었다","3"
"정말 위로가 필요했는데이 글로라도 위로가 되네요..","3"
"진짜 팥의 맛을 제대로 느낄 수 있는 파리바게뜨 국산팥빙수!","3"
"저는 최대한 긍정적으로 생각하는 '넌 감동이야' 구요","3"
"  공중파 케이블 할것없이 여기저기 뛰어 다니는 도니형의 모습에  저도 좀더 열심히 일하고 공부해야겠다는 생각을 하네요.","3"
"행복한 스케이터의 모습이어서 더욱 빛이나는 연기가 나온거 같다는생각이 들어요...","3"
"  연아양 연기를 보고있으면 전율이 흐르는 것 같아요.","3"
"아무리 못한다고 놀려도 끝까지 할려는 그마음!!!","3"
"저번편지에 댓글 달아줘서 너무 고마워요","3"
"요즘 최고의 인물입니다.","3"
"어제 그 뮤직비디오 잊지 못합니다 ..","3"
"넘 잘하심","3"
" 고마워ㅠㅠ","3"
